DATO,DISTRIKTSTYPE,Bydel,Born,Famtype,Antal,FAMTYP
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,19,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,2,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,33,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,157,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,137,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,13,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,9,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,2,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,15,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,12,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,4,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,6,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,23,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,2,141
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,44,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,216,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,239,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,18,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,10,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,4,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,16,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,5,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,6,162
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,4,122
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 3 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,21,131
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,2,141
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,2,151
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,24,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,103,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,108,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,1,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,4,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,6,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,5,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig mand,1,112
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,2,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,13,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,18,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,59,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,96,121
20160331,Bydele,Indre By,Familier uden børn,Ikke hjemmeboende børn,2,183
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,8,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,3,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,8,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,4,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,2,162
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,12,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,16,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,84,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,78,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,7,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,3,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,1,162
20160331,Bydele,Indre By,Familier med 3 børn,Ægtepar og reg. partnere,1,132
20160331,Bydele,Indre By,Familier med 3 børn,Enlig kvinde,1,122
20160331,Bydele,Indre By,Familier uden børn,Ægtepar og reg. partnere,44,131
20160331,Bydele,Indre By,Familier uden børn,Par samlevende og samboende,43,171
20160331,Bydele,Indre By,Familier uden børn,Enlig mand,162,111
20160331,Bydele,Indre By,Familier uden børn,Enlig kvinde,179,121
20160331,Bydele,Indre By,Familier med 1 barn,Ægtepar og reg. partnere,13,132
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,12,162
20160331,Bydele,Indre By,Familier med 1 barn,Par samlevende og samboende,1,172
20160331,Bydele,Indre By,Familier med 1 barn,Enlig mand,9,112
20160331,Bydele,Indre By,Familier med 1 barn,Enlig kvinde,11,122
20160331,Bydele,Indre By,Familier med 2 børn,Ægtepar og reg. partnere,15,132
20160331,Bydele,Indre By,Familier med 2 børn,Par samlevende og samboende,3,162
20160331,Bydele,Indre By,Familier med 2 børn,Enlig kvinde,6,122
